Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Vistara,15/04/2019,Delhi,Mumbai,DEL → BOM,06:15,08:30,2h 15m,non-stop,In-flight meal included,7450
SpiceJet,18/05/2019,Chennai,Hyderabad,MAA → HYD,14:40,15:55,1h 15m,non-stop,No info,3890
Air India,22/06/2019,Mumbai,Jaipur,BOM → UDR → JAI,09:10,14:20,5h 10m,1 stop,No info,8125
GoAir,03/07/2019,Pune,Banglore,PNQ → BLR,21:30,22:55,1h 25m,non-stop,No info,4120
Jet Airways,11/08/2019,Delhi,Cochin,DEL → BOM → COK,05:55,12:40,6h 45m,1 stop,No info,10980
IndiGo,27/09/2019,Hyderabad,Delhi,HYD → DEL,17:20,19:30,2h 10m,non-stop,No info,5299
Vistara,02/10/2019,Kolkata,Pune,CCU → BOM → PNQ,10:45,16:35,5h 50m,1 stop,In-flight meal included,9620
SpiceJet,19/11/2019,Ahmedabad,Mumbai,AMD → BOM,07:35,08:55,1h 20m,non-stop,No info,3645
AirAsia,05/12/2019,Jaipur,Delhi,JAI → DEL,19:10,20:05,55m,non-stop,No info,2980
GoAir,21/01/2020,Banglore,Kolkata,BLR → CCU,23:15,01:55 22 Jan,2h 40m,non-stop,No info,5585
IndiGo,14/03/2019,Delhi,Cochin,DEL → COK,07:10,10:20,3h 10m,non-stop,No info,6240
Air India,09/06/2019,Delhi,Cochin,DEL → BOM → COK,11:45,18:30,6h 45m,1 stop,No info,9820
Vistara,22/10/2019,Delhi,Cochin,DEL → BLR → COK,16:00,22:10,6h 10m,1 stop,In-flight meal included,10450
